設立別,學校所在地別,畢業生人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率
縣市立,金門縣,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
縣市立,連江縣,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
私立,新北市,13198 ,77 ,156 ,182 ,283 ,24 ,26 ,59 ,0.58,1.18,1.38,2.14,0.18,0.2,0.45
私立,臺北市,12198 ,30 ,140 ,72 ,159 ,26 ,58 ,61 ,0.25,1.15,0.59,1.3,0.21,0.48,0.5
私立,桃園市,15069 ,64 ,318 ,333 ,200 ,29 ,12 ,109 ,0.42,2.11,2.21,1.33,0.19,0.08,0.72
私立,臺中市,18304 ,28 ,248 ,244 ,306 ,34 ,48 ,55 ,0.15,1.35,1.33,1.67,0.19,0.26,0.3
私立,臺南市,8173 ,16 ,167 ,157 ,175 ,8 ,14 ,72 ,0.2,2.04,1.92,2.14,0.1,0.17,0.88
私立,高雄市,11831 ,70 ,227 ,318 ,214 ,38 ,36 ,73 ,0.59,1.92,2.69,1.81,0.32,0.3,0.62
私立,宜蘭縣,462 ,0 ,8 ,0 ,5 ,0 ,0 ,0 ,0.00 ,1.73,0.00 ,1.08,0.00 ,0.00 ,0.00 
私立,新竹縣,2607 ,1 ,63 ,44 ,13 ,10 ,1 ,8 ,0.04,2.42,1.69,0.5,0.38,0.04,0.31
私立,苗栗縣,1919 ,3 ,36 ,58 ,14 ,7 ,2 ,4 ,0.16,1.88,3.02,0.73,0.36,0.1,0.21
私立,彰化縣,3748 ,21 ,100 ,88 ,56 ,9 ,1 ,0 ,0.56,2.67,2.35,1.49,0.24,0.03,0.00 
私立,南投縣,1079 ,5 ,28 ,27 ,18 ,0 ,2 ,4 ,0.46,2.59,2.5,1.67,0.00 ,0.19,0.37
私立,雲林縣,2860 ,24 ,67 ,100 ,56 ,7 ,4 ,6 ,0.84,2.34,3.5,1.96,0.24,0.14,0.21
私立,嘉義縣,2022 ,34 ,86 ,134 ,15 ,2 ,40 ,31 ,1.68,4.25,6.63,0.74,0.1,1.98,1.53
私立,屏東縣,1941 ,19 ,78 ,87 ,51 ,7 ,3 ,23 ,0.98,4.02,4.48,2.63,0.36,0.15,1.18
私立,臺東縣,407 ,5 ,0 ,4 ,7 ,1 ,1 ,3 ,1.23,0.00 ,0.98,1.72,0.25,0.25,0.74
私立,花蓮縣,1212 ,3 ,26 ,13 ,21 ,3 ,2 ,30 ,0.25,2.15,1.07,1.73,0.25,0.17,2.48
私立,澎湖縣,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
私立,基隆市,1503 ,2 ,15 ,10 ,9 ,0 ,0 ,3 ,0.13,1,0.67,0.6,0.00 ,0.00 ,0.2
私立,新竹市,2773 ,8 ,68 ,31 ,25 ,4 ,2 ,2 ,0.29,2.45,1.12,0.9,0.14,0.07,0.07
私立,嘉義市,2634 ,1 ,69 ,47 ,40 ,4 ,4 ,0 ,0.04,2.62,1.78,1.52,0.15,0.15,0.00 
私立,金門縣,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
私立,連江縣,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
