設立別,學校所在地,畢業生人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率
縣市立,苗栗縣,408,0,5,1,0,0,0,2,0,1.23,0.25,0,0,0,0.49
縣市立,彰化縣,669,0,9,2,8,0,1,2,0,1.35,0.30,1.20,0,0.15,0.30
縣市立,南投縣,248,0,2,0,5,2,0,0,0,0.81,0,2.02,0.81,0,0
縣市立,雲林縣,427,0,5,0,7,0,0,0,0,1.17,0,1.64,0,0,0
縣市立,嘉義縣,181,0,2,0,7,0,0,0,0,1.10,0,3.87,0,0,0
縣市立,屏東縣,593,3,13,2,17,0,0,0,0.51,2.19,0.34,2.87,0,0,0
縣市立,臺東縣,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,花蓮縣,44,0,6,2,0,0,0,0,0,13.64,4.55,0,0,0,0
縣市立,澎湖縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,基隆市,446,0,7,0,6,0,0,0,0,1.57,0,1.35,0,0,0
縣市立,新竹市,855,0,13,0,8,1,0,0,0,1.52,0,0.94,0.12,0,0
縣市立,嘉義市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,金門縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,連江縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,新北市,17122,57,359,318,240,51,29,121,0.33,2.10,1.86,1.40,0.30,0.17,0.71
私立,臺北市,16210,49,219,178,126,25,49,110,0.30,1.35,1.10,0.78,0.15,0.30,0.68
私立,桃園市,16727,25,467,493,106,29,15,153,0.15,2.79,2.95,0.63,0.17,0.09,0.91
私立,臺中市,21713,38,343,232,133,10,25,67,0.18,1.58,1.07,0.61,0.05,0.12,0.31
私立,臺南市,11060,21,259,208,157,11,7,56,0.19,2.34,1.88,1.42,0.10,0.06,0.51
私立,高雄市,15489,77,513,352,232,34,29,140,0.50,3.31,2.27,1.50,0.22,0.19,0.90
私立,宜蘭縣,451,0,2,0,9,0,4,0,0,0.44,0,2.00,0,0.89,0
私立,新竹縣,3494,12,156,69,15,3,1,9,0.34,4.46,1.97,0.43,0.09,0.03,0.26
私立,苗栗縣,2874,17,71,80,38,7,1,7,0.59,2.47,2.78,1.32,0.24,0.03,0.24
私立,彰化縣,5219,72,240,157,30,15,1,6,1.38,4.60,3.01,0.57,0.29,0.02,0.11
私立,南投縣,1359,0,51,37,7,0,1,2,0,3.75,2.72,0.52,0,0.07,0.15
私立,雲林縣,3327,1,168,31,43,18,1,9,0.03,5.05,0.93,1.29,0.54,0.03,0.27
私立,嘉義縣,2357,5,81,103,23,3,0,16,0.21,3.44,4.37,0.98,0.13,0,0.68
私立,屏東縣,2677,0,161,173,39,6,0,8,0,6.01,6.46,1.46,0.22,0,0.30
私立,臺東縣,463,7,34,8,18,2,0,32,1.51,7.34,1.73,3.89,0.43,0,6.91
私立,花蓮縣,1725,2,61,9,10,11,4,26,0.12,3.54,0.52,0.58,0.64,0.23,1.51
私立,澎湖縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,基隆市,1634,1,28,13,9,0,0,4,0.06,1.71,0.80,0.55,0,0,0.24
私立,新竹市,3282,4,107,30,12,7,3,15,0.12,3.26,0.91,0.37,0.21,0.09,0.46
私立,嘉義市,2955,2,101,172,21,16,5,7,0.07,3.42,5.82,0.71,0.54,0.17,0.24
私立,金門縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,連江縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
