學年度,學程別,設立別,性別,畢業生人數,未升學就業人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數
109,綜合高中,私立,男,1273,53,2,30,4,10,3,4
109,進修部,國立,女,1263,66,5,0,41,8,11,1
109,進修部,國立,男,1826,169,11,99,40,10,9,0
109,進修部,私立,女,2614,226,34,0,138,21,31,2
109,進修部,私立,男,3049,344,32,117,159,15,15,6
110,實用技能學程,國立,女,776,28,3,0,19,4,1,1
110,實用技能學程,國立,男,1198,99,8,41,34,9,5,2
110,實用技能學程,私立,女,2251,163,11,0,141,2,8,1
110,實用技能學程,私立,男,2857,264,8,150,90,10,5,1
110,專業群科,國立,女,13474,259,46,0,139,57,13,4
110,專業群科,國立,男,19893,709,68,240,225,140,29,7
110,專業群科,私立,女,17338,572,70,0,318,98,45,41
110,專業群科,私立,男,17474,913,66,436,307,57,34,13
110,普通科,國立,女,33933,503,11,0,13,465,0,14
110,普通科,國立,男,32740,725,26,72,13,597,7,10
110,普通科,私立,女,10292,189,5,0,6,148,3,27
110,普通科,私立,男,10947,272,7,40,18,184,5,18
110,綜合高中,國立,女,3137,47,0,0,4,40,2,1
110,綜合高中,國立,男,2696,66,8,13,8,36,1,0
110,綜合高中,私立,女,883,13,1,0,0,3,5,4
110,綜合高中,私立,男,870,24,8,7,3,4,2,0
110,進修部,國立,女,1060,56,5,0,29,10,10,2
110,進修部,國立,男,1662,113,5,54,37,9,6,2
110,進修部,私立,女,2406,124,11,0,89,6,17,1
110,進修部,私立,男,2632,258,8,102,119,13,10,6
